WOS_ID,Title,Year,Journal,DOI,Split
WOS:001246513400001,Leveraging Extremal Dependence to Better Characterize the 2021 Pacific Northwest Heatwave,2026,JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,10.1007/s13253-024-00636-8,Holdout_QA
WOS:001324375600001,"Have we Reached a ""Tipping Point"" in Climate Change Reporting? How Mainstream Newspapers Cover Heatwaves",2026,JOURNALISM PRACTICE,10.1080/17512786.2024.2409840,Holdout_QA
WOS:001400944900001,"Tourist Decision-Making and Types of Crises: Risk Attitudes, Knowledge, and Destination Preference Persistence",2026,JOURNAL OF HOSPITALITY & TOURISM RESEARCH,10.1177/10963480241310819,Holdout_QA
WOS:001412580200001,Effects of extreme heat events on crop revenues for US corn and soybeans,2026,AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,10.1111/ajae.12527,Holdout_QA
WOS:001457990600001,Heterotrophy in parental coral colonies enhances larval survival independently of heat stress,2026,CORAL REEFS,10.1007/s00338-025-02646-5,Holdout_QA
WOS:001478850800001,"A heatwave-related mortality event of endangered Sakhalin taimen Parahucho perryi in northern Hokkaido, Japan",2026,ICHTHYOLOGICAL RESEARCH,10.1007/s10228-025-01026-x,Holdout_QA
WOS:001484832600001,Farmers perception of climate change trends in Ethiopia: implications for crafting robust adaptation strategies,2026,LOCAL ENVIRONMENT,10.1080/13549839.2025.2502994,Holdout_QA
WOS:001523920000001,Using in situ microrefugia to safeguard stringybark eucalypts from hot droughts,2026,CONSERVATION SCIENCE AND PRACTICE,10.1111/csp2.70093,Holdout_QA
WOS:001530887900001,Can global weather station network capture heatwaves?,2026,ATMOSPHERIC RESEARCH,10.1016/j.atmosres.2025.108335,Holdout_QA
WOS:001531240000001,"Southern Ocean marine heatwaves: variability, hotspots and teleconnections",2026,JOURNAL OF OCEANOGRAPHY,10.1007/s10872-025-00769-5,Holdout_QA
